accession	Pango_lineage	clade	genotype	CHIKVnext_lineage
LN898099	O	III-Asian		Asian Urban + American Lineage
LN898102	O	III-Asian		Asian Urban + American Lineage
LN898097	O	III-Asian		Asian Urban + American Lineage
LN898095	O	III-Asian		Asian Urban + American Lineage
LN898109	O	III-Asian		Asian Urban + American Lineage
LN898093	O	III-Asian		Asian Urban + American Lineage
KY703950	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703921	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703903	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703902	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680364	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY435476	O	III-Asian	Asian	Asian Urban + American Lineage
KY435480	O	III-Asian	Asian	Asian Urban + American Lineage
KY435470	O	III-Asian	Asian	Asian Urban + American Lineage
KY435461	O	III-Asian	Asian	Asian Urban + American Lineage
KY435456	O	III-Asian	Asian	Asian Urban + American Lineage
MG967666	O	III-Asian		Asian Urban + American Lineage
KP164571	O	III-Asian		Asian Urban + American Lineage
LC500220	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
LC500217	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
LC500215	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KT327167	O	III-Asian		Asian Urban + American Lineage
KT327166	O	III-Asian		Asian Urban + American Lineage
KT327165	O	III-Asian		Asian Urban + American Lineage
KT327163	O	III-Asian		Asian Urban + American Lineage
MT228632	O	III-Asian		Asian Urban + American Lineage
OL343608	O	III-Asian		
MT150100	O	III-Asian		Asian Urban + American Lineage
MT150098	O	III-Asian		Asian Urban + American Lineage
MT150097	O	III-Asian		Asian Urban + American Lineage
MT150096	O	III-Asian		Asian Urban + American Lineage
MT150099	O	III-Asian		Asian Urban + American Lineage
MT150095	O	III-Asian		Asian Urban + American Lineage
MT150094	O	III-Asian		Asian Urban + American Lineage
MT150093	O	III-Asian		Asian Urban + American Lineage
MT150092	O	III-Asian		Asian Urban + American Lineage
KY680370	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
LC500218	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MN462648	O	III-Asian		Asian Urban + American Lineage
MN462662	O	III-Asian		Asian Urban + American Lineage
MN462645	O	III-Asian		Asian Urban + American Lineage
MN462644	O	III-Asian		Asian Urban + American Lineage
MN462643	O	III-Asian		Asian Urban + American Lineage
MN462641	O	III-Asian		Asian Urban + American Lineage
MN462640	O	III-Asian		Asian Urban + American Lineage
MN462646	O	III-Asian		Asian Urban + American Lineage
MN462661	O	III-Asian		Asian Urban + American Lineage
MN462659	O	III-Asian		Asian Urban + American Lineage
MN462655	O	III-Asian		Asian Urban + American Lineage
MN462639	O	III-Asian		Asian Urban + American Lineage
OQ148653	O	III-Asian	Asian	
OQ148652	O	III-Asian	Asian	
KR559488	O	III-Asian		Asian Urban + American Lineage
KR559484	O	III-Asian		Asian Urban + American Lineage
KR559476	O	III-Asian		Asian Urban + American Lineage
KR559475	O	III-Asian		Asian Urban + American Lineage
KR559472	O	III-Asian		Asian Urban + American Lineage
KR046232	O	III-Asian	Asia	Asian Urban + American Lineage
KR046231	O	III-Asian	Asia	Asian Urban + American Lineage
KR046229	O	III-Asian	Asia	Asian Urban + American Lineage
KT581023	O	III-Asian		
KT192707	O	III-Asian	Asian	Asian Urban + American Lineage
KX262994	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KR046230	O	III-Asian	Asia	Asian Urban + American Lineage
KU365369	O	III-Asian		
KU365367	O	III-Asian		
KU365366	O	III-Asian		
KY703970	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703996	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703935	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703920	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703959	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703955	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703948	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703919	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703984	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703947	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703928	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703909	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703918	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703901	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703899	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY704001	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703956	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703993	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703940	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703994	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703934	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703927	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703904	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703922	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703908	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703898	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703897	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KR559471	O	III-Asian		Asian Urban + American Lineage
KY703998	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703967	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703980	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703930	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703911	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703895	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703999	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703997	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703988	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703978	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703972	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703968	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703933	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703992	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703990	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703987	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703925	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703912	O	III-Asian	Asian and Caribbean	
KY703914	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703982	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703971	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703907	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703986	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703974	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703952	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703926	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703924	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703891	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703965	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703995	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703944	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703943	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703890	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703892	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703889	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703989	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703979	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703973	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703954	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703946	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703938	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703915	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703976	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703958	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703937	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703900	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703991	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703894	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703893	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703985	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703931	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703957	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703942	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703916	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703888	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680399	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680393	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680389	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680405	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680386	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680384	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680382	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680375	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680373	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680367	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703906	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680366	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680359	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KX702401	O	III-Asian		Asian Urban + American Lineage
KY415979	O	III-Asian		Asian Urban + American Lineage
KY415985	O	III-Asian		Asian Urban + American Lineage
KY415984	O	III-Asian		Asian Urban + American Lineage
KY415982	O	III-Asian		Asian Urban + American Lineage
KX702402	O	III-Asian		Asian Urban + American Lineage
KY415981	O	III-Asian		Asian Urban + American Lineage
KY415980	O	III-Asian		Asian Urban + American Lineage
KY415983	O	III-Asian		Asian Urban + American Lineage
KY415978	O	III-Asian		Asian Urban + American Lineage
KY680402	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680372	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680356	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680363	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680355	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703975	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703960	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY704002	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703983	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703966	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703941	O	III-Asian	Asian and Caribbean	
KY703951	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703923	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703905	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680398	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680361	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680352	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KU365368	O	III-Asian		
KY435471	O	III-Asian	Asian	Asian Urban + American Lineage
KY680413	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY435455	O	III-Asian	Asian	Asian Urban + American Lineage
KR559478	O	III-Asian		Asian Urban + American Lineage
LC259089	O	III-Asian		Asian Urban + American Lineage
KY680379	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY435459	O	III-Asian	Asian	Asian Urban + American Lineage
MF773560	O	III-Asian	Asian	Asian Urban + American Lineage
KY703977	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703961	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703936	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703913	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KR559481	O	III-Asian		Asian Urban + American Lineage
KY703962	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703910	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703896	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KP851709	O	III-Asian		Asian Urban + American Lineage
KY703945	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MG921596	O	III-Asian		Asian Urban + American Lineage
PQ261037	O	III-Asian	Asian	
PQ261036	O	III-Asian	Asian	
KX262991	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY575573	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY435460	O	III-Asian	Asian	Asian Urban + American Lineage
MG208125	O	III-Asian		Asian Urban + American Lineage
MT228633	O	III-Asian		Asian Urban + American Lineage
MT228631	O	III-Asian		Asian Urban + American Lineage
PX312164	O	III-Asian	Asia	
KR559490	O	III-Asian		Asian Urban + American Lineage
KR046234	O	III-Asian	Asia	Asian Urban + American Lineage
KR559496	O	III-Asian		Asian Urban + American Lineage
KR046233	O	III-Asian	Asia	Asian Urban + American Lineage
KY435478	O	III-Asian	Asian	Asian Urban + American Lineage
KY435463	O	III-Asian	Asian	Asian Urban + American Lineage
KR559489	O	III-Asian		Asian Urban + American Lineage
KR559485	O	III-Asian		Asian Urban + American Lineage
KR559497	O	III-Asian		Asian Urban + American Lineage
KR559491	O	III-Asian		Asian Urban + American Lineage
KY680407	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680388	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680376	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KJ451624	O	III-Asian		Asian Urban + American Lineage
KT327164	O	III-Asian		Asian Urban + American Lineage
KY435486	O	III-Asian	Asian	Asian Urban + American Lineage
KR559495	O	III-Asian		Asian Urban + American Lineage
KR559494	O	III-Asian		Asian Urban + American Lineage
KY435484	O	III-Asian	Asian	Asian Urban + American Lineage
KY435481	O	III-Asian	Asian	Asian Urban + American Lineage
KY435477	O	III-Asian	Asian	Asian Urban + American Lineage
KY435473	O	III-Asian	Asian	Asian Urban + American Lineage
KY435465	O	III-Asian	Asian	Asian Urban + American Lineage
KY435464	O	III-Asian	Asian	Asian Urban + American Lineage
KY435462	O	III-Asian	Asian	Asian Urban + American Lineage
KR559492	O	III-Asian		Asian Urban + American Lineage
KY435474	O	III-Asian	Asian	Asian Urban + American Lineage
KR046228	O	III-Asian	Asia	Asian Urban + American Lineage
KY435458	O	III-Asian	Asian	Asian Urban + American Lineage
KR559479	O	III-Asian		Asian Urban + American Lineage
KR559477	O	III-Asian		Asian Urban + American Lineage
KY272970	O	III-Asian		Asian Urban + American Lineage
KY272969	O	III-Asian		Asian Urban + American Lineage
KY272967	O	III-Asian		Asian Urban + American Lineage
KY272965	O	III-Asian		Asian Urban + American Lineage
KY272963	O	III-Asian		Asian Urban + American Lineage
KY272962	O	III-Asian		Asian Urban + American Lineage
KY680410	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680406	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680403	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680401	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680400	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680397	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680395	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680391	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680385	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680378	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680412	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680368	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680390	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680354	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680353	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KU355832	O	III-Asian		Asian Urban + American Lineage
KY680351	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY575566	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MF001514	O	III-Asian		Asian Urban + American Lineage
KY272961	O	III-Asian		Asian Urban + American Lineage
KY680369	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680360	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680358	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY575569	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY272966	O	III-Asian		Asian Urban + American Lineage
MF001513	O	III-Asian		Asian Urban + American Lineage
MF001511	O	III-Asian		Asian Urban + American Lineage
MF001519	O	III-Asian		Asian Urban + American Lineage
MF001509	O	III-Asian		Asian Urban + American Lineage
MF001515	O	III-Asian		Asian Urban + American Lineage
MF001505	O	III-Asian		Asian Urban + American Lineage
KY435466	O	III-Asian	Asian	Asian Urban + American Lineage
KY272964	O	III-Asian		Asian Urban + American Lineage
KY680383	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680371	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680357	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MF001510	O	III-Asian		Asian Urban + American Lineage
KY680387	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680374	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MF001507	O	III-Asian		Asian Urban + American Lineage
MN462642	O	III-Asian		Asian Urban + American Lineage
LC259090	O	III-Asian		Asian Urban + American Lineage
MH329304	O	III-Asian	Asiatico	Asian Urban + American Lineage
KR559486	O	III-Asian		Asian Urban + American Lineage
MH329303	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH329302	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH329296	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH329293	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH359141	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH329300	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH359140	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH359139	O	III-Asian	Asiatico	Asian Urban + American Lineage
KU365373	O	III-Asian		
KU365372	O	III-Asian		
MH329294	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH359142	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH329295	O	III-Asian		Asian Urban + American Lineage
MN462658	O	III-Asian		Asian Urban + American Lineage
MN462656	O	III-Asian		Asian Urban + American Lineage
MN462654	O	III-Asian		Asian Urban + American Lineage
MN462653	O	III-Asian		Asian Urban + American Lineage
MN462652	O	III-Asian		Asian Urban + American Lineage
MN462651	O	III-Asian		Asian Urban + American Lineage
MN462660	O	III-Asian		Asian Urban + American Lineage
MN462657	O	III-Asian		Asian Urban + American Lineage
MN462650	O	III-Asian		Asian Urban + American Lineage
MN462649	O	III-Asian		Asian Urban + American Lineage
MN462647	O	III-Asian		Asian Urban + American Lineage
MH329301	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH329299	O	III-Asian	Asiatico	Asian Urban + American Lineage
MN462638	O	III-Asian		Asian Urban + American Lineage
KY680404	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680394	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KR264951	O	III-Asian		Asian Urban + American Lineage
KY680392	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680381	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY575572	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KR264950	O	III-Asian		Asian Urban + American Lineage
KR264949	O	III-Asian		Asian Urban + American Lineage
MF001518	O	III-Asian		Asian Urban + American Lineage
MF001517	O	III-Asian		Asian Urban + American Lineage
KR559482	O	III-Asian		Asian Urban + American Lineage
KR559480	O	III-Asian		Asian Urban + American Lineage
KY680409	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680380	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680350	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680348	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MF001516	O	III-Asian		Asian Urban + American Lineage
MF001508	O	III-Asian		Asian Urban + American Lineage
MF001506	O	III-Asian		Asian Urban + American Lineage
MT038408	O	III-Asian	Asian and Caribbean	
MT038407	O	III-Asian	Asian and Caribbean	
MT038409	O	III-Asian	Asian and Caribbean	
MT038406	O	III-Asian	Asian and Caribbean	
MT038405	O	III-Asian	Asian and Caribbean	
MT038404	O	III-Asian	Asian and Caribbean	
OP615962	O	III-Asian	Asian	
KY680414	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680411	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680377	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680362	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MF001512	O	III-Asian		Asian Urban + American Lineage
OP615961	O	III-Asian	Asian	
OQ148656	O	III-Asian	Asian	
OQ148657	O	III-Asian	Asian	
OQ148655	O	III-Asian	Asian	
OQ148654	O	III-Asian	Asian	
OQ148639	O	III-Asian	Asian	
OQ148651	O	III-Asian	Asian	
OQ148621	O	III-Asian	Asian	
KR559473	O	III-Asian		Asian Urban + American Lineage
OR488122	O	III-Asian		
KR559470	O	III-Asian		Asian Urban + American Lineage
KY272968	O	III-Asian		Asian Urban + American Lineage
KU365374	O	III-Asian		
KY680408	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY680349	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY575565	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
OQ148617	O	III-Asian	Asian	
KR559498	O	III-Asian		Asian Urban + American Lineage
KR559487	O	III-Asian		Asian Urban + American Lineage
KR559474	O	III-Asian		Asian Urban + American Lineage
KR559483	O	III-Asian		Asian Urban + American Lineage
MF773563	O	III-Asian	Asian	Asian Urban Lineage
AB860301	O	III-Asian		Asian Urban Lineage
KJ451622	O	III-Asian		Asian Urban Lineage
KJ451623	O	III-Asian		Asian Urban Lineage
KJ689453	O	III-Asian		Asian Urban Lineage
KJ689452	O	III-Asian		Asian Urban Lineage
MH647193	O	III-Asian	Asian	Asian Urban Lineage
LC259088	O	III-Asian		Asian Urban Lineage
MF773562	O	III-Asian	Asian	Asian Urban Lineage
KR559493	O	III-Asian		Asian Urban Lineage
MF773559	O	III-Asian	Asian	Asian Urban Lineage
KC488650	O	III-Asian	Asian	Asian Urban Lineage
KF318729	O	III-Asian		Asian Urban Lineage
LC259084	O	III-Asian		Asian Urban Lineage
KT308160	O	III-Asian	Asian	Asian Urban Lineage
KT308162	O	III-Asian	Asian	Asian Urban Lineage
KT308159	O	III-Asian	Asian	Asian Urban Lineage
MH647185	O	III-Asian	Asian	Asian Urban Lineage
KT308163	O	III-Asian	Asian	Asian Urban Lineage
KT308161	O	III-Asian	Asian	Asian Urban Lineage
LC259083	O	III-Asian		Asian Urban Lineage
MF773565	O	III-Asian	Asian	Asian Urban Lineage
FJ807897	O	III-Asian		Asian Urban Lineage
LC259086	O	III-Asian		Asian Urban Lineage
MH647183	O	III-Asian	Asian	Asian Urban Lineage
MF773561	O	III-Asian	Asian	Asian Urban Lineage
EU703760	O	III-Asian		Asian Urban Lineage
EU703761	O	III-Asian		Asian Urban Lineage
EU703762	O	III-Asian		
EU703759	O	III-Asian		Asian Urban Lineage
KM923919	O	III-Asian		Asian Urban Lineage
KM923918	O	III-Asian		Asian Urban Lineage
KM923920	O	III-Asian		Asian Urban Lineage
KM923917	O	III-Asian		Asian Urban Lineage
FN295484	O	III-Asian		Asian Urban Lineage
FN295483	O	III-Asian		Asian Urban Lineage
KX168429	O	III-Asian		Asian Urban Lineage
HE806461	O	III-Asian		Asian Urban Lineage
KF872195	O	III-Asian		Asian Urban Lineage
LC259091	O	III-Asian		Asian Urban Lineage
MG664851	O	III-Asian		Asian Urban Lineage
MT591103	O	III-Asian	Asian	Asian Urban Lineage
MT591102	O	III-Asian	Asian	Asian Urban Lineage
MT591100	O	III-Asian	Asian	Asian Urban Lineage
MT591099	O	III-Asian	Asian	Asian Urban Lineage
MT591098	O	III-Asian	Asian	Asian Urban Lineage
KX097986	O	III-Asian		Asian Urban Lineage
MT591101	O	III-Asian	Asian	Asian Urban Lineage
MT591097	O	III-Asian	Asian	Asian Urban Lineage
MT591096	O	III-Asian	Asian	Asian Urban Lineage
KX097988	O	III-Asian		Asian Urban Lineage
KX097982	O	III-Asian		Asian Urban Lineage
MT591095	O	III-Asian	Asian	Asian Urban Lineage
MT591094	O	III-Asian	Asian	Asian Urban Lineage
MT591093	O	III-Asian	Asian	Asian Urban Lineage
KY883764	O	III-Asian	Asian	Asian Urban Lineage
KM673291	O	III-Asian		Asian Urban Lineage
LC259087	O	III-Asian		Asian Urban Lineage
LC259085	O	III-Asian		Asian Urban Lineage
MT591092	O	III-Asian	Asian	Asian Urban Lineage
MT591085	O	III-Asian	Asian	Asian Urban Lineage
MT591084	O	III-Asian	Asian	Asian Urban Lineage
MT591083	O	III-Asian	Asian	Asian Urban Lineage
MH670649	O	III-Asian		Asian Urban Lineage
HM045797	O	III-Asian		Asian Urban Lineage
HM045791	O	III-Asian		Asian Urban Lineage
HM045800	O	III-Asian		Asian Urban Lineage
HM045790	O	III-Asian		Asian Urban Lineage
HM045789	O	III-Asian		Asian Urban Lineage
KX262988	O	III-Asian	Asian and Caribbean	Asian Urban Lineage
HM045796	O	III-Asian		Asian Urban Lineage
HM045787	O	III-Asian		Asian Urban Lineage
KX262987	O	III-Asian		Asian Urban Lineage
HM045808	O	III-Asian		Asian Urban Lineage
HM045814	O	III-Asian		Asian Urban Lineage
MK028840	O	III-Asian		Asian Urban Lineage
MK028839	O	III-Asian		Asian Urban Lineage
HM045810	O	III-Asian		Asian Urban Lineage
HM045813	O	III-Asian		Asian Urban Lineage
HM045803	O	III-Asian		Asian Urban Lineage
HM045788	O	III-Asian		Asian Urban Lineage
LC259082	O	III-Asian		Asian Urban Lineage
ON642352	O	II-ECSA		Indian Ocean Lineage
ON642353	O	II-ECSA		Indian Ocean Lineage
KX619426	O	II-ECSA		Indian Ocean Lineage
MW042254	O	II-ECSA	ECSA-IOL	Indian Ocean Lineage
MH647207	O	II-ECSA	ECSA	Indian Ocean Lineage
MT526801	O	II-ECSA	ECSA	Indian Ocean Lineage
MT526803	O	II-ECSA	ECSA	Indian Ocean Lineage
MT526802	O	II-ECSA	ECSA	Indian Ocean Lineage
MH647197	O	II-ECSA	ECSA	Indian Ocean Lineage
